datetime,heat loss,m_HP,abs m_HP,COP
2019/7/24,816682388.3,0.11252789,0.11252789,5.16520001
2019/7/25,1901461590,0.26199592,0.26199592,5.04841803
2019/7/26,-303922139.3,-0.0418764,0.0418764,5.2227787
2019/7/27,-1695890282,-0.23367095,0.23367095,5.07004323
2019/7/28,-1836253291,-0.25301109,0.25301109,5.05525273
2019/7/29,-1123579325,-0.15481417,0.15481417,5.13148311
2019/7/30,-1525651544,-0.21021433,0.21021433,5.08812726
2019/7/31,-1503659940,-0.20718418,0.20718418,5.0904751
2019/8/1,-1162142196,-0.16012762,0.16012762,5.127285
2019/8/2,-823654000.5,-0.11348848,0.11348848,5.16442797
2019/8/3,-1213535023,-0.16720886,0.16720886,5.12170343
2019/8/4,-1115348443,-0.15368007,0.15368007,5.13238026
2019/8/5,-1105329032,-0.15229952,0.15229952,5.13347289
2019/8/6,-1536692971,-0.21173569,0.21173569,5.08694948
2019/8/7,-1690214441,-0.23288889,0.23288889,5.07064359
2019/8/8,-1197931022,-0.16505884,0.16505884,5.12339652
2019/8/9,-734975823.9,-0.10126982,0.10126982,5.17426957
2019/8/10,-1491541745,-0.20551446,0.20551446,5.09176999
2019/8/11,-1768325698,-0.24365158,0.24365158,5.06239703
2019/8/12,-2813428761,-0.38765277,0.38765277,4.95519028
2019/8/13,-2637568932,-0.36342165,0.36342165,4.97283226
2019/8/14,-2341895925,-0.32268187,0.32268187,5.00285115
2019/8/15,-1810301373,-0.24943526,0.24943526,5.05797926
2019/8/16,-2341713422,-0.32265672,0.32265672,5.00286983
2019/8/17,-1717133624,-0.236598,0.236598,5.06779782
2019/8/18,-2433731402,-0.33533557,0.33533557,4.99347889
2019/8/19,-2662626585,-0.36687425,0.36687425,4.97030892
2019/8/20,-2756925852,-0.37986743,0.37986743,4.96084146
2019/8/21,-2275902863,-0.31358891,0.31358891,5.00961328
2019/8/22,-1702551640,-0.2345888,0.2345888,5.06933886
2019/8/23,-984731091.8,-0.13568275,0.13568275,5.14666965
2019/8/24,-676629635.2,-0.09323049,0.09323049,5.18077032
2019/8/25,451457512.8,0.06220479,0.06220479,5.20604924
2019/8/26,488852364.4,0.0673573,0.0673573,5.20182996
2019/8/27,400009935.1,0.05511601,0.05511601,5.21186795
2019/8/28,-1318273458,-0.18164041,0.18164041,5.1103748
2019/8/29,-2300796264,-0.31701889,0.31701889,5.00705984
2019/8/30,-1640354639,-0.22601888,0.22601888,5.07592503
2019/8/31,-2429570336,-0.33476223,0.33476223,4.9939026
2019/9/1,-3046174755,-0.41972205,0.41972205,4.93208106
2019/9/2,-2817644579,-0.38823366,0.38823366,4.95476927
2019/9/3,-1939349199,-0.26721632,0.26721632,5.04445748
2019/9/4,-2412688814,-0.33243618,0.33243618,4.99562251
2019/9/5,-3464672238,-0.47738539,0.47738539,4.89120093
2019/9/6,-3636206747,-0.50102055,0.50102055,4.87468947
2019/9/7,-3684606526,-0.50768939,0.50768939,4.87005596
2019/9/8,-4055908749,-0.55884986,0.55884986,4.83487487
2019/9/9,-3916677259,-0.53966563,0.53966563,4.84799192
2019/9/10,-3279431758,-0.45186174,0.45186174,4.90919045
2019/9/11,-2041277089,-0.28126062,0.28126062,5.03384088
2019/9/12,-1603014538,-0.22087392,0.22087392,5.0798893
2019/9/13,-2851644876,-0.39291844,0.39291844,4.9513772
2019/9/14,-3015769766,-0.41553265,0.41553265,4.93508461
2019/9/15,-2008463061,-0.27673929,0.27673929,5.03725263
2019/9/16,-2386700396,-0.32885532,0.32885532,4.99827315
2019/9/17,-3703659832,-0.51031468,0.51031468,4.86823494
2019/9/18,-3820114956,-0.52636064,0.52636064,4.85714191
2019/9/19,-2947915174,-0.4061832,0.4061832,4.94180418
2019/9/20,-3090303965,-0.42580246,0.42580246,4.92772992
2019/9/21,-2056589085,-0.28337041,0.28337041,5.03225082
2019/9/22,-2137638639,-0.29453795,0.29453795,5.02385519
2019/9/23,-2751797519,-0.37916081,0.37916081,4.96135517
2019/9/24,-2146289278,-0.29572989,0.29572989,5.02296116
2019/9/25,-2285247014,-0.31487641,0.31487641,5.00865443
2019/9/26,-2241464559,-0.30884377,0.30884377,5.01315117
2019/9/27,-3182248944,-0.43847125,0.43847125,4.91869499
2019/9/28,-2947933425,-0.40618571,0.40618571,4.94180237
2019/9/29,-2439808750,-0.33617294,0.33617294,4.99286022
2019/9/30,-3270051107,-0.45056921,0.45056921,4.91010588
2019/10/1,-3147025878,-0.43361798,0.43361798,4.92215125
2019/10/2,-5596817538,-0.77116644,0.77116644,4.69545975
2019/10/3,-5023685318,-0.6921965,0.6921965,4.7461142
2019/10/4,-3977724491,-0.54807712,0.54807712,4.8422296
