,T_BTES_final6
1072,15.71781401
1073,15.6795058
1074,15.63557482
1075,15.59448448
1076,15.55296778
1077,15.51102796
1078,15.4707904
1079,15.43045251
1080,15.38862691
1081,15.35067901
1082,15.32036315
1083,15.2824957
1084,15.24652729
1085,15.20918322
1086,15.17223275
1087,15.13787481
1088,15.09470377
1089,15.05709416
1090,15.01792212
1091,14.98275583
1092,14.9433698
1093,14.90338605
1094,14.86704111
1095,14.85315958
1096,14.83479814
1097,14.81613045
1098,14.79591775
1099,14.77733514
1100,14.76131469
1101,14.74808468
1102,14.73279274
1103,14.71497462
1104,14.69756436
1105,14.68261432
1106,14.66956062
1107,14.65794835
1108,14.64328624
1109,14.62958137
1110,14.6161058
1111,14.59829167
1112,14.58015453
1113,14.56335586
1114,14.54412991
1115,14.52667732
1116,14.50918642
1117,14.48947181
1118,14.47100857
1119,14.45750229
1120,14.44484781
1121,14.42918548
1122,14.41006528
1123,14.39197281
1124,14.37243744
1125,14.35279384
1126,14.33394151
1127,14.31441002
1128,14.2951747
1129,14.28060009
1130,14.26610582
1131,14.25336583
1132,14.23976991
1133,14.22798468
1134,14.21473661
1135,14.19991854
1136,14.18487242
1137,14.17004769
1138,14.15713064
1139,14.14275906
1140,14.12926294
1141,14.11811379
1142,14.10658522
1143,14.0935745
1144,14.07972425
1145,14.06746258
1146,14.05630335
1147,14.04367784
1148,14.03200728
1149,14.01923237
1150,14.00588585
1151,13.99371473
1152,13.98108271
1153,13.9689765
1154,13.95677426
1155,14.04758883
1156,14.13815265
1157,14.22522457
1158,14.31353848
1159,14.40454588
1160,14.49252011
1161,14.58074178
1162,14.66966015
1163,14.75714341
1164,14.84454715
1165,14.93267165
1166,15.02130247
1167,15.11154075
1168,15.20336262
1169,15.29444122
1170,15.38148549
1171,15.46904206
1172,15.55865074
1173,15.64985677
1174,15.74222824
1175,15.8335985
1176,15.92324489
1177,16.01195368
1178,16.10043539
1179,16.18848602
1180,16.27766515
1181,16.36787442
1182,16.45833148
1183,16.55019624
1184,16.63940484
1185,16.6265637
1186,16.61202032
1187,16.59624731
1188,16.58137411
1189,16.56880102
1190,16.55638367
1191,16.54544199
1192,16.53503053
1193,16.52346041
1194,16.50987763
1195,16.49479553
1196,16.48016337
1197,16.4647968
1198,16.44897889
1199,16.43653956
1200,16.42577799
1201,16.41596848
1202,16.40746375
1203,16.39974801
1204,16.39227184
1205,16.38505428
1206,16.37798926
1207,16.37113912
1208,16.3617345
1209,16.35173125
1210,16.34169146
1211,16.32984571
1212,16.31940385
1213,16.30953796
1214,16.30044822
1215,16.29154657
1216,16.28152228
1217,16.27038845
1218,16.25700452
1219,16.24451302
1220,16.23239098
1221,16.22195611
1222,16.21191063
1223,16.20076626
1224,16.19025127
1225,16.17970779
1226,16.1696665
1227,16.15988393
1228,16.15076145
1229,16.14257047
1230,16.13334852
1231,16.12402866
1232,16.11625447
1233,16.10901972
1234,16.10215603
1235,16.09465103
1236,16.08761352
1237,16.08136799
1238,16.07537473
1239,16.07021226
1240,16.06416762
1241,16.0565661
1242,16.04841294
1243,16.04017985
1244,16.0355826
1245,16.03084854
1246,16.02689132
1247,16.02244245
1248,16.01561448
1249,16.00910202
1250,16.00200279
1251,15.99420903
1252,15.98635062
1253,15.97826042
1254,15.97047205
1255,15.96063201
1256,15.9511968
1257,15.94234377
1258,15.9339378
1259,15.926894
1260,15.91947507
1261,15.91299279
1262,15.90756109
1263,15.90157709
1264,15.89594412
1265,15.88919232
1266,15.88310937
1267,15.87842346
1268,15.87414194
1269,15.87147524
1270,15.86873448
1271,15.8650259
1272,15.86047317
1273,15.85673625
1274,15.85648997
1275,15.85303403
1276,15.84867759
1277,15.84358922
1278,15.83943547
1279,15.83658723
1280,15.83457328
1281,15.83155696
1282,15.82775193
1283,15.8247492
1284,15.82285157
1285,15.82142263
1286,15.81979751
1287,15.81756743
1288,15.8148433
1289,15.81132854
1290,15.80732194
1291,15.80567258
1292,15.80361881
1293,15.80080952
1294,15.79719984
1295,15.79484824
1296,15.79198935
1297,15.79221267
1298,15.79451206
1299,15.79619612
1300,15.80011707
1301,15.79949036
1302,15.79599331
1303,15.79220683
1304,15.78988993
1305,15.78674393
1306,15.78364328
1307,15.78124687
1308,15.77954843
1309,15.77704604
1310,15.77474611
1311,15.77246685
1312,15.76929808
1313,15.76581274
1314,15.76334253
1315,15.76182695
1316,15.75875129
1317,15.75510488
1318,15.7493034
1319,15.74386455
1320,15.73903539
1321,15.73530243
1322,15.73047365
1323,15.7269328
1324,15.72191428
1325,15.71642376
1326,15.71073879
1327,15.70604572
1328,15.70253494
1329,15.70050435
1330,15.6991091
1331,15.70004003
1332,15.70104808
1333,15.70187293
1334,15.69915456
1335,15.79597135
1336,15.89415001
1337,15.99070126
1338,16.08598103
1339,16.18173204
1340,16.27929416
1341,16.37588022
1342,16.47029702
1343,16.5643601
1344,16.65832338
1345,16.751521
1346,16.84500573
1347,16.93980451
1348,17.03715644
1349,17.13541211
1350,17.23109301
1351,17.32643548
1352,17.42385508
1353,17.52049473
1354,17.61441871
1355,17.70810256
1356,17.80358495
1357,17.89877372
1358,17.99609408
1359,18.09324731
1360,18.18913411
1361,18.2862695
1362,18.38311835
1363,18.48005749
1364,18.57505666
1365,18.67053901
1366,18.76706915
1367,18.86188727
1368,18.95695907
1369,19.04697924
1370,19.13818124
1371,19.23154009
1372,19.32462658
1373,19.41859652
1374,19.51212408
1375,19.60539035
1376,19.69740143
1377,19.79064896
1378,19.88579803
1379,19.9779645
1380,20.07092198
1381,20.16282773
1382,20.25458618
1383,20.34668811
1384,20.43755766
1385,20.52966825
1386,20.620452
1387,20.71037033
1388,20.80149808
1389,20.89133561
1390,20.98242283
1391,21.0740668
1392,21.16774738
1393,21.26078623
1394,21.34856055
1395,21.43571595
1396,21.5242435
1397,21.61294694
1398,21.7020904
1399,21.79612767
1400,21.88745149
1401,21.97688262
1402,22.06657232
1403,22.15673377
1404,22.24412712
1405,22.33177872
1406,22.41847435
1407,22.5043078
1408,22.59201472
1409,22.67956892
1410,22.76652614
1411,22.85369908
1412,22.9401618
1413,23.02770678
1414,23.11430197
1415,23.20129852
1416,23.28733869
1417,23.37287552
1418,23.45953585
1419,23.54582956
1420,23.63476408
1421,23.72417737
1422,23.8136578
1423,23.90478036
1424,23.99624026
1425,23.98464471
1426,23.97196241
1427,23.95482395
1428,23.93695645
1429,23.91961179
1430,23.9015643
1431,23.8850627
1432,23.86847809
1433,23.85436422
1434,23.84410228
1435,23.83201199
1436,23.8198694
1437,23.80528466
1438,23.79208596
