,Temp_out_BTES,Temp_into_BTES,,,,,
89,30.42894138,20.42894138, [ 2.29151649e+01],, [ 4.15289209e+11],,38.6427369
90,30.75525868,20.75525868, [ 2.27552369e+01],, [ 4.09475092e+11],,38.63555859
91,30.59854123,20.59854123, [ 2.25773224e+01],, [ 4.03475501e+11],,38.61924147
92,30.42857344,20.42857344, [ 2.23865399e+01],, [ 3.96801158e+11],,38.59634505
93,30.73306476,20.73306476, [ 2.22058158e+01],, [ 3.89644081e+11],,38.57833287
94,30.59757895,20.59757895, [ 2.20501893e+01],, [ 3.82864339e+11],,38.57272478
95,30.46377123,20.46377123, [ 2.18965489e+01],, [ 3.77026116e+11],,38.56796527
96,30.34586523,20.34586523, [ 2.17590856e+01],, [ 3.71262396e+11],,38.57115024
97,30.6991061,20.6991061, [ 2.16275993e+01],, [ 3.66105553e+11],,38.5771799
98,30.57442812,20.57442812, [ 2.14839155e+01],, [ 3.61172934e+11],,38.57696722
99,30.42806188,20.42806188, [ 2.13188742e+01],, [ 3.55782732e+11],,38.56593253
100,30.26553925,20.26553925, [ 2.11380388e+01],, [ 3.49591317e+11],,38.54685787
101,30.57775607,20.57775607, [ 2.09624040e+01],, [ 3.42807401e+11],,38.53024078
102,30.41216802,20.41216802, [ 2.07792223e+01],, [ 3.36218578e+11],,38.50970786
103,30.24171643,20.24171643, [ 2.05915532e+01],, [ 3.29346640e+11],,38.48678909
104,30.10767187,20.10767187, [ 2.04405936e+01],, [ 3.22306358e+11],,38.48208328
105,29.99170675,19.99170675, [ 2.03079792e+01],, [ 3.16643211e+11],,38.48640851
106,29.88600077,19.88600077, [ 2.01858687e+01],, [ 3.11668272e+11],,38.49584441
107,30.27070435,20.27070435, [ 2.00780345e+01],, [ 3.07087377e+11],,38.51227747
108,30.18756055,20.18756055, [ 1.99789009e+01],, [ 3.03042049e+11],,38.53292016
109,30.10699837,20.10699837, [ 1.98825421e+01],, [ 2.99323119e+11],,38.55480979
110,30.02922301,20.02922301, [ 1.97891572e+01],, [ 2.95708281e+11],,38.57804626
111,29.95309127,19.95309127, [ 1.96975994e+01],, [ 2.92205009e+11],,38.60205642
