,T_BTES_5
867,49.85540712185671
868,49.84817236969203
869,49.841308682565916
870,49.83380368516247
871,49.82676616949699
872,49.820520648126944
873,49.814527383242904
874,49.80936491265886
875,49.803320278224554
876,49.79571875122619
877,49.78756559427573
878,49.779332504042394
879,49.77473524905853
880,49.770001196773606
881,49.766043972533836
882,49.761595105933274
883,49.75476713287841
884,49.748254678006774
885,49.741155443610744
886,49.733361685351504
887,49.72550327296287
888,49.71741307664066
889,49.70962469995379
890,49.69978466477321
891,49.69034945176703
892,49.681496427011396
893,49.673090449071694
894,49.66604664863124
895,49.65862771875117
896,49.652145445843914
897,49.646713746123496
898,49.64072973904797
899,49.63509677605774
900,49.62834497294515
901,49.62226202774012
902,49.61757610853766
903,49.613294597540865
904,49.610627896863804
905,49.60788713371221
906,49.60417855315573
907,49.59962581845246
908,49.59588889996721
909,49.59564262718662
910,49.592186679450215
911,49.58783024040884
912,49.58274186993187
913,49.578588124228474
914,49.5757398801689
915,49.573725930313536
916,49.570709615618476
917,49.56690458073175
918,49.563901851683916
919,49.56200422657887
920,49.560575287477796
921,49.5589501656129
922,49.55672008730725
923,49.553995958105794
924,49.55048118941026
925,49.54647459018776
926,49.54482523243195
927,49.54277146647004
928,49.53996217294952
929,49.536352492892114
930,49.53400089643123
931,49.531142002127545
932,49.53136531855174
933,49.53366471752701
934,49.53534877325124
935,49.53926971892124
936,49.53864301039224
937,49.53514596701477
938,49.53135948537976
939,49.529042586886874
940,49.52589658759513
941,49.52279593651549
942,49.52039951870975
943,49.518701087038025
944,49.51619869365926
945,49.513898767816734
946,49.51161950269496
947,49.50845073521343
948,49.50496539581416
949,49.502495178967315
950,49.50097960784561
951,49.49790394532459
952,49.49425753509696
953,49.488456049870365
954,49.48301719981132
955,49.47818804799835
956,49.47445508101733
957,49.46962630553416
958,49.466085456912516
959,49.46106693397242
960,49.45557641329416
961,49.44989144098534
962,49.44519837143999
963,49.441687591882086
964,49.43965700807659
965,49.4382617508424
966,49.43919268754389
967,49.44020073502279
968,49.44102558325102
969,49.43830721195516
970,49.43356281048997
971,49.4301802854606
972,49.42517034293026
973,49.41888891932406
974,49.41307874079218
975,49.409079668244075
976,49.40410453658239
977,49.3969601421417
978,49.389462031646886
979,49.381864117450384
980,49.373500552321396
981,49.365424092177484
982,49.35866167645461
983,49.35445242152883
984,49.35114689437667
985,49.34526660487364
986,49.3390478784657
987,49.334906288340946
988,49.3299847465992
989,49.32234754316428
990,49.31447020118986
991,49.30839139565525
992,49.30201897455673
993,49.29777814523224
994,49.29337018610614
995,49.287695788777185
996,49.283269991432796
997,49.2785576536023
998,49.273935598230686
999,49.267373580209714
1000,49.26129473704041
1001,49.256263682189314
1002,49.24952061002096
1003,49.2430312244055
1004,49.2314901984867
1005,49.2211310109532
1006,49.212928667183206
1007,49.20445397070882
1008,49.196862717621364
1009,49.1888290842569
1010,49.1805341623975
1011,49.170984054709585
1012,49.1626703914293
1013,49.156258267123604
1014,49.14686354762314
1015,49.138259843950394
1016,49.12860440045821
1017,49.11880165995022
1018,49.109342399220154
1019,49.09865075848776
1020,49.089200153432564
1021,49.07842270861105
1022,49.066779846790055
1023,49.056346408615006
1024,49.044622747943215
1025,49.03414877862777
1026,49.024231557402516
1027,49.01635094132562
1028,49.00782860100262
1029,48.99404172839382
1030,48.9796359373651
1031,48.966602296681835
1032,48.95374455437315
1033,48.94132682144157
1034,48.93380289445661
1035,48.92356552614389
1036,48.91143546270061
1037,48.89956397814874
1038,48.88816422790504
1039,48.87399639268081
1040,48.86008679764863
1041,48.8452212397238
1042,48.82949350126729
1043,48.81563922729087
1044,48.80163223709585
1045,48.78702826873492
1046,48.772640014855526
1047,48.75754154399921
1048,48.743525333626096
1049,48.72855933223553
1050,48.7139946907477
1051,48.698473672398485
1052,48.68244930770985
1053,48.66754844968252
1054,48.652280967355985
1055,48.63965429394743
1056,48.62750639228587
1057,48.61542562855766
1058,48.60498699697939
1059,48.594885710938556
1060,48.58329015426252
1061,48.57060785872925
1062,48.553469395722296
1063,48.53560189905244
1064,48.51825724280674
1065,48.500209745722316
1066,48.48370815225335
1067,48.46712353956817
1068,48.45300967059795
1069,48.442747727697075
1070,48.430657442726066
1071,48.418514847367526
1072,48.403930109657054
1073,48.39073140900481
1074,48.375096098107505
1075,48.360637657991866
1076,48.34596180988928
1077,48.331069569906404
1078,48.31686921944832
1079,48.302591570045784
1080,48.28764340687349
1081,48.2743172796285
1082,48.26422156332494
1083,48.25087146362117
1084,48.238300863932245
1085,48.2251113834581
1086,48.21205824868583
1087,48.20008187992887
1088,48.18430834165937
1089,48.17087552380835
1090,48.156742574717875
1091,48.14428867611589
1092,48.13000067753734
1093,48.11542346650382
1094,48.10236773502782
1095,48.08852731013375
1096,48.07016587546747
1097,48.05149818042648
1098,48.031285484968365
1099,48.012702878978786
1100,47.99668242816097
1101,47.98345241654642
1102,47.96816047252725
1103,47.95034235083756
1104,47.932932099625184
1105,47.91798205478259
1106,47.904928355511366
1107,47.89331608961924
1108,47.878653977699216
1109,47.86494910820849
1110,47.85147353884739
1111,47.83365940629789
1112,47.815522266522905
1113,47.79872359522265
1114,47.77949764675521
1115,47.7620450580015
1116,47.74455415847281
1117,47.72483954068153
1118,47.706376307743476
1119,47.69287002954944
1120,47.68021554507639
1121,47.664553213417406
1122,47.64543301472298
1123,47.6273405457588
1124,47.60780517571396
1125,47.58816157209216
1126,47.569309247732356
1127,47.54977775392365
1128,47.530542434743644
1129,47.51596782040961
1130,47.50147355332293
1131,47.48873356583399
1132,47.4751376449494
1133,47.46335241608581
1134,47.4501043404534
1135,47.43528627584269
1136,47.420240153004336
